"Name","Disc. Date","R.A.","Dec."
"SN2005fr","2005/09/14","01:08:22.02,01:08:22.0,01:08:22.01,01:08:22.008,01:08:21.984,01:08:22.010","-00:05:46.7,-00:05:47,-00:05:46.65,-00:05:46.572,-00:05:47.004,-00:05:46.4892,-00:05:46.9896,-00:05:46.72,-00:05:46.74,-00:05:46.654"
"SN2007tt","2007/11/05","01:11:20.516,01:11:20.52,01:11:20.520","-00:12:19.41,-00:12:19.4148,-00:12:19.3644,-00:12:19.6992,-00:12:19.3,-00:12:19.30,-00:12:19.34,-00:12:19.423"
"SN2006mh","2006/10/17","01:15:13.394,01:15:13.392,01:15:13.39,01:15:13.398","+00:23:57.33,+00:23:57.3,+00:23:57.034,+00:23:57.30,+00:23:57.312"
"SN2007ta","2007/10/04","01:13:15.811,01:13:15.816,01:13:15.792,01:13:15.80,01:13:15.802,01:13:15.801","-00:01:31.46,-00:01:31.458,-00:01:31.476,-00:01:31.7064,-00:01:31.4,-00:01:31.40,-00:01:31.41,-00:01:31.428"
"SN2006md","2006/10/15","01:11:31.49,01:11:31.512,01:11:31.488,01:11:31.486,01:11:31.492","+00:24:34.3,+00:24:34.16,+00:24:33.88,+00:24:34.171,+00:24:34.2,+00:24:34.20,+00:24:34.163"
"SN2006mn","2006/10/23","01:07:48.391,01:07:48.384,01:07:48.36,01:07:48.39,01:07:48.392","-00:06:35.48,-00:06:35.424,-00:06:35.4312,-00:06:35.7732,-00:06:35.5,-00:06:35.50,-00:06:35.454"
"SN2007ts","2007/11/05","01:07:58.15,01:07:58.152,01:07:58.17,01:07:58.168,01:07:58.159","+00:27:48.9,+00:27:49.151,+00:27:48.863,+00:27:49.0,+00:27:49.00,+00:27:49.05,+00:27:48.972"
"SDSS-II SN 3825","2005/09/09","01:09:52.902,01:09:52.90,01:09:52.896,01:09:52.911","+00:36:19.03,+00:36:19.033,+00:36:19.271,+00:36:18.716,+00:36:19.019"
"SN2006lw","2006/09/16","02:08:33.669,02:08:33.67,02:08:33.670","-03:57:12.90,-03:57:12.9,-03:57:12.89,-03:57:12.888"
"SN2006ly","2006/09/16","02:34:42.381,02:34:42.38","-08:30:39.89,-08:30:39.9,-08:30:39.885"
"SN2007tj","2007/10/08","02:11:04.61,02:11:04.611","-04:11:50.0,-04:11:49.99,-04:11:50.04,-04:11:50.056"
"SN2007tk","2007/10/08","02:30:24.61,02:30:24.610,02:30:24.609","-08:17:54.4,-08:17:54.38,-08:17:54.44,-08:17:54.401"
"SN2003js","2003/10/24","02:29:52.15,02:29:52.158,02:29:52.152","-08:32:28.1,-08:32:28.09,-08:32:28.10,-08:32:28.19,-08:32:28.155"
"SN2006sk","2006/11/14","02:10:33.801,02:10:33.80,02:10:33.800","-04:04:03.86,-04:04:03.9,-04:04:03.79,-04:04:03.845"
"SN2003ji","2003/10/20","02:07:54.84,02:07:54.848,02:07:54.841","-03:28:28.4,-03:28:28.40,-03:28:28.42,-03:28:28.49,-03:28:28.055"
"SN2006so","2006/11/18","02:33:49.155,02:33:49.15,02:33:49.152","-08:59:15.78,-08:59:15.8,-08:59:15.68,-08:59:15.768"
"SN2006mf","2006/10/15","02:30:37.321,02:30:37.32,02:30:37.318","-07:57:04.44,-07:57:04.4,-07:57:04.39,-07:57:04.538"
"SN2007tp","2007/10/10","02:30:23.94,02:30:23.940","-09:13:39.8,-09:13:39.79,-09:13:39.85,-09:13:39.846"
"SN2007tq","2007/10/16","02:29:23.34,02:29:23.344,02:29:23.345","-07:52:27.7,-07:52:27.70,-07:52:27.68,-07:52:27.686"
"SN2007ud","2007/11/07","02:30:13.15,02:30:13.148,02:30:13.145","-09:15:39.4,-09:15:39.38,-09:15:39.45,-09:15:39.519"
"SN2006sb","2006/11/12","02:06:30.310,02:06:30.31,02:06:30.312","-04:05:30.60,-04:05:30.6,-04:05:30.59,-04:05:30.553"
"SN2006sq","2006/11/24","02:07:11.629,02:07:11.63,02:07:11.62,02:07:11.267","-03:57:10.93,-03:57:10.9,-03:57:10.91,-03:57:07.942"
"SN2006tg","2006/11/28","02:04:14.171,02:04:14.17,02:04:14.168","-04:40:18.67,-04:40:18.7,-04:40:18.70,-04:40:18.623"
"ESSENCE r185","2006/10/31","01:11:48.238","-00:29:49.579"
"SN2007ti","2007/10/08","02:10:09.84,02:10:09.837,02:10:09.836","-04:39:49.3,-04:39:49.28,-04:39:49.31,-04:39:49.342"
"SN2007ub","2007/11/07","02:07:24.14,02:07:24.136,02:07:24.132","-03:51:55.2,-03:51:55.19,-03:51:55.20,-03:51:55.226"
"SN2007uj","2007/11/15","02:33:19.03,02:33:19.034,02:33:19.036","-08:32:30.2,-08:32:30.19,-08:32:30.21,-08:32:30.217"
"SN2003jt","2003/10/24","02:31:54.60,02:31:54.608,02:31:54.595","-08:35:48.4,-08:35:48.43,-08:35:48.41,-08:35:48.49,-08:35:48.609"
"SN2003jy","2003/10/30","02:10:53.98,02:10:53.988,02:10:53.987","-04:25:49.8,-04:25:49.76,-04:25:49.80,-04:25:49.89,-04:25:49.436"
"ESSENCE x103","2007/10/08","01:10:48.009","+00:13:36.806"
"SN2006mb","2006/10/13","02:30:54.302,02:30:54.30,02:30:54.298","-08:57:42.06,-08:57:42.1,-08:57:42.08,-08:57:42.078"
"SN2007uf","2007/11/11","02:06:30.88,02:06:30.884,02:06:30.881","-04:09:55.0,-04:09:55.01,-04:09:55.03,-04:09:55.047"
"SN2007ui","2007/11/13","02:34:57.12,02:34:57.120,02:34:57.445","-08:04:00.2,-08:04:00.19,-08:04:00.20,-08:03:57.919"
"SN2003kn","2003/11/21","02:09:15.55,02:09:15.558,02:09:15.549","-03:35:41.4,-03:35:41.38,-03:35:41.39,-03:35:41.49,-03:35:41.010"
"SN2004fh","2004/10/09","23:28:27.20,23:28:27.197","-08:36:55.2,-08:36:55.17,-08:36:55.19,-08:36:55.071"
"SN2004hl","2004/12/07","01:13:38.17,01:13:38.174,23:26:46.120","-00:27:39.0,-00:27:39.03,-00:27:38.99,-00:27:39.045,-08:45:42.405"
"ESSENCE m057","2005/09/28","02:10:56.77,02:10:56.774","-04:27:29.9,-04:27:29.90,-04:27:29.962"
"SN2006sg","2006/11/14","02:08:13.041,02:08:13.04","-03:46:21.93,-03:46:21.9,-03:46:21.90,-03:46:21.937"
"SN2003jn","2003/10/22","02:29:21.21,02:29:21.218,02:29:21.199","-09:02:15.6,-09:02:15.57,+09:02:15.61,+09:02:15.69,-09:02:15.490"
"SN2003ko","2003/11/21","02:11:06.48,02:11:06.488,02:11:06.495","-03:47:56.1,-03:47:56.09,-03:47:56.11,-03:47:56.19,-03:47:55.899"
"SN2003kr","2003/11/21","02:31:20.96,02:31:20.968,02:31:20.960","-08:36:14.2,-08:36:14.16,-08:36:14.18,-08:36:14.29,-08:36:14.195"
"SN2003ks","2003/11/21","02:31:34.54,02:31:34.548,02:31:34.528","-08:36:46.4,-08:36:46.41,-08:36:46.40,-08:36:46.49,-08:36:46.462"
"SN2006lx","2006/09/16","02:30:10.384,02:30:10.38,02:30:10.389","-08:06:54.03,-08:06:54.0,-08:06:54.00,-08:06:54.094"
"SN2006sc","2006/11/12","02:10:10.227,02:10:10.23,02:10:10.22,02:10:10.226","-04:44:12.52,-04:44:12.5,-04:44:12.545"
"SN2007tg","2007/10/06","02:06:10.51,02:06:10.506,02:06:10.505","-04:42:23.2,-04:42:23.18,-04:42:23.19,-04:42:23.286"
"ESSENCE n263","2004/11/18","02:05:14.95,02:05:14.946","-04:56:39.1,-04:56:39.08,-04:56:39.087"
"SN2003jq","2003/10/22","23:30:51.19,23:30:51.198,23:30:51.191","-09:28:34.0,-09:28:33.95,-09:28:34.00,-09:28:34.09,-09:28:34.044"
"SN2003kp","2003/11/21","02:31:02.64,02:31:02.648,02:31:02.652","-08:39:50.8,-08:39:50.81,-08:39:50.80,-08:39:50.89,-08:39:50.909"
"ESSENCE m022","2005/09/26","23:30:02.70,23:30:02.706","-08:33:36.6,-08:33:36.57,-08:33:36.539"
"ESSENCE m193","2005/09/30","02:28:52.20,02:28:52.199","-07:42:09.8,-07:42:09.78,-07:42:09.763"
"SN2006sm","2006/11/14","02:33:29.487,02:33:29.49,02:33:29.48","-08:30:11.94,-08:30:11.9,-08:30:11.92,-08:30:11.879"
"SN2007uc","2007/11/07","02:10:15.53,02:10:15.531,02:10:15.529","-04:04:06.5,-04:04:06.49,-04:04:06.465"
"SN2007uk","2007/12/01","01:10:55.00,01:10:55.004,01:10:55.006","-00:22:53.2,-00:22:53.18,-00:22:53.24,-00:22:53.197"
"SN2007un","2007/12/03","01:14:22.73,01:14:22.74,01:14:22.735,01:14:22.736","+01:07:45.6,+01:07:45.59,+01:07:45.64,+01:07:45.632"
"2MASS J23244229-0829087","2004/12/09","23:24:42.29,23:24:42.28,23:24:42.288","-08:29:08.7,-08:29:07.82,-08:29:08.021"
"ESSENCE m032","2005/09/25","23:29:35.34,23:29:35.343","-09:58:46.3,-09:58:46.33,-09:58:46.304"
"ESSENCE m039","2005/09/26","02:28:04.63,02:28:04.636","-07:42:44.3,-07:42:44.29,-07:42:44.373"
"ESSENCE q018","2006/09/16","02:31:39.017","-08:18:05.170"
"ESSENCE q021","2006/09/16","02:33:43.919","-08:05:50.050"
"SN2006sl","2006/11/14","02:32:15.952,02:32:15.95","-08:48:34.31,-08:48:34.3,-08:48:34.335"
"SN2007th","2007/10/06","02:10:57.57,02:10:57.574,02:10:57.582","-05:00:24.9,-05:00:24.91,-05:00:24.86,-05:00:24.789"
"SN2007um","2007/12/03","01:12:29.21,01:12:29.208,01:12:29.210","+00:17:01.2,+00:17:01.21,+00:17:01.22,+00:17:01.211"
"SN2007uo","2007/12/03","01:15:11.99,01:15:11.994,01:14:43.186","-00:02:08.4,-00:02:08.41,-00:02:08.37,+00:54:27.657"
"SN2007uu","2007/12/09","01:14:01.02,01:14:01.018,01:14:01.011","+00:53:47.5,+00:53:47.51,+00:53:47.53,+00:53:47.598"
"SN2003kq","2003/11/21","02:31:04.09,02:31:04.098,02:31:04.089","-08:10:56.6,-08:10:56.64,-08:10:56.60,-08:10:56.69,-08:10:56.603"
"SN2004hh","2004/11/20","02:06:25.01,02:06:25.02,02:06:25.028","-04:38:04.0,-04:38:04.09,-04:38:03.98,-04:38:04.035"
"SN2007tb","2007/10/04","01:14:41.25,01:14:41.246,01:14:41.252","+00:46:51.8,+00:46:51.82,+00:46:51.84,+00:46:51.824"
"SN2007tz","2007/11/05","02:30:07.15,02:30:07.146,02:30:07.153","-08:43:09.3,-08:43:09.30,-08:43:09.31,-08:43:09.354"
"SN2007ul","2007/12/01","02:07:16.53,02:07:16.54,02:07:16.535,02:07:16.534","-04:42:23.2,-04:42:23.18,-04:42:23.22,-04:42:23.201"
"SN2007ur","2007/12/07","02:08:41.59,02:08:41.589,02:08:41.591","-03:34:10.5,-03:34:10.60,-03:34:10.55,-03:34:10.527"
"SN2002iz","2002/11/05","02:31:20.73,02:31:20.745","-08:36:13.1,-08:36:13.12,-08:36:13.10,-08:36:13.414"
"SN2003ju","2003/10/24","23:27:01.71,23:27:01.718,23:27:01.704","-09:24:04.5,-09:24:04.49,-09:24:04.50,-09:24:04.59,-09:24:04.573"
"SN2003jw","2003/10/28","02:31:06.84,02:31:06.848,02:31:06.836","-08:45:36.5,-08:45:36.51,-08:45:36.50,-08:45:36.59,-08:45:36.535"
"SN2003kv","2003/11/27","02:09:42.52,02:09:42.528,02:09:42.519","-03:46:48.6,-03:46:48.58,-03:46:48.61,-03:46:48.69,-03:46:48.442"
"SN2004hj","2004/11/20","02:29:41.93,02:29:41.94,02:29:41.943","-08:43:49.4,-08:43:49.42,-08:43:49.40,-08:43:49.480"
"ESSENCE x039","2007/09/17","02:29:18.063","-07:39:01.433"
"SN2006me","2006/10/15","01:14:47.192,01:14:47.19,01:14:47.189","+00:10:13.32,+00:10:13.3,+00:10:13.30,+00:10:13.284"
"SN2006mg","2006/10/15","02:31:37.748,02:31:37.75,02:31:37.750","-08:06:40.16,-08:06:40.2,-08:06:40.21,-08:06:40.098"
"SN2006ty","2006/12/21","01:10:45.362,01:10:45.36,01:10:45.361","+00:34:04.46,+00:34:04.5,+00:34:04.51,+00:34:04.408"
"SN2007uq","2007/12/07","02:04:21.31,02:04:21.312,02:04:21.320","-03:54:10.9,-03:54:10.91,-03:54:10.960"
"SN2007ut","2007/12/07","02:30:23.64,02:30:23.638,02:30:23.642","-09:12:20.0,-09:12:20.02,-09:12:20.022"
"SN2007uv","2007/12/12","01:14:43.18,01:14:43.185,01:15:11.994","+00:54:27.7,+00:54:27.68,+00:54:27.71,-00:02:08.387"
"SN2003jj","2003/10/22","01:07:58.52,01:07:58.528,01:07:58.519","+00:03:01.9,+00:03:01.89,+00:03:01.91,+00:03:01.99,+00:03:01.918"
"SN2003jv","2003/10/24","23:27:58.22,23:27:58.228,23:27:58.197","-08:57:11.8,-08:57:11.82,-08:57:11.81,-08:57:11.89,-08:57:11.687"
"SN2003kk","2003/11/15","23:25:36.06,23:25:36.068,23:25:36.054","-09:31:44.7,-09:31:44.70,-09:31:44.69,-09:31:44.79,-09:31:44.807"
"SN2004fo","2004/10/13","01:13:28.97,01:13:28.975","+00:35:16.3,+00:35:16.26,+00:35:16.30,+00:35:16.179"
"ESSENCE m043","2005/09/26","23:29:51.73,23:29:51.729","-08:56:46.1,-08:56:46.07,-08:56:46.084"
"ESSENCE s354","2006/11/26","02:06:10.482","-05:05:23.000"
"SN2006mc","2006/10/13","02:32:02.605,02:32:02.60,02:32:02.611","-09:07:21.15,-09:07:21.1,-09:07:21.22,-09:07:21.181"
"SN2006mk","2006/10/19","02:30:16.913,02:30:16.91,02:30:16.911","-08:40:47.30,-08:40:47.3,-08:40:47.32,-08:40:47.345"
"SN2006ts","2006/12/19","02:10:18.686,02:10:18.69,02:10:18.687","-03:32:26.32,-03:32:26.3,-03:32:26.30,-03:32:26.335"
"SN2007tf","2007/10/06","01:09:59.35,01:09:59.350,01:09:59.349","-00:01:06.9,-00:01:07.00,-00:01:06.95,-00:01:06.947"
"SN2007tv","2007/11/05","02:05:13.33,02:05:13.329,02:05:13.326","-05:01:42.5,-05:01:42.49,-05:01:42.46,-05:01:42.415"
"ESSENCE g133","2004/09/18","02:09:49.63,02:09:49.626","-04:10:55.1,-04:10:55.07,-04:10:55.064"
"SN2003kt","2003/11/21","02:33:47.01,02:33:47.018,02:33:46.992","-08:36:22.1,-08:36:22.09,-08:36:22.10,-08:36:22.19,-08:36:22.141"
"SN2003le","2003/12/13","01:08:08.73,01:08:08.738,01:08:08.739","+00:27:09.7,+00:27:09.74,+00:27:09.68,+00:27:09.79,+00:27:09.580"
"SN2004fi","2004/10/09","23:29:45.27,23:29:45.35,23:29:45.348","-08:54:36.1,-08:54:36.34,-08:54:36.3,-08:54:36.29,-08:54:36.347"
"SN2004hi","2004/11/20","02:08:38.82,02:08:38.84,02:08:38.835","-05:08:11.7,-05:08:11.79,-05:08:11.69,-05:08:11.825"
"ESSENCE n258","2005/11/22","02:06:42.35,02:06:42.346","-04:22:37.0,-04:22:37.01,-04:22:36.982"
"ESSENCE q022","2006/09/14","01:12:03.875","-00:01:29.045"
"SN2006to","2006/12/17","02:07:34.386,02:07:34.39,02:07:34.387","-04:00:04.22,-04:00:04.2,-04:00:04.21,-04:00:04.177"
"SN2007tm","2007/10/10","02:06:04.73,02:06:04.74,02:06:04.735,02:06:04.748","-03:32:29.3,-03:32:29.29,-03:32:29.33,-03:32:29.261"
"SN2007ty","2007/11/05","02:28:34.38,02:28:34.378,02:28:34.381","-08:23:49.5,-08:23:49.49,-08:23:49.53,-08:23:49.491"
"ESSENCE g230","2003/12/23","01:11:56.31,01:11:56.314","+00:07:27.7,+00:07:27.71,+00:07:27.441"
"SN2003jl","2003/10/22","02:28:28.56,02:28:28.568","-08:08:44.7,-08:08:44.74,-08:08:44.70,-08:08:44.79,-08:08:44.932"
"SN2003ln","2003/12/15","23:30:27.15,23:30:27.158,23:30:27.131","-08:35:47.0,-08:35:46.98,-08:35:47.00,-08:35:47.09,-08:35:46.927"
"SN2004hq","2004/12/09","02:30:18.04,02:30:18.037","-08:22:25.0,-08:22:25.01,-08:22:25.00,-08:22:25.045"
"ESSENCE p454","2005/11/24","02:08:32.45,02:08:32.461","-03:33:34.2,-03:33:34.20,-03:33:34.241"
"SN2006ml","2006/10/21","01:08:43.980,01:08:43.98,01:08:43.977","-00:31:36.62,-00:31:36.6,-00:31:36.59,-00:31:36.593"
"SN2006sf","2006/11/14","02:08:11.654,02:08:11.65,02:08:11.658","-03:51:40.19,-03:51:40.2,-03:51:40.10,-03:51:40.230"
"SN2006si","2006/11/14","02:09:51.327,02:09:51.33,02:09:51.32,02:09:51.320","-03:43:32.48,-03:43:32.5,-03:43:32.41,-03:43:32.520"
"SN2006sn","2006/11/16","02:06:18.250,02:06:18.25,02:06:18.251","-04:51:33.12,-04:51:33.1,-04:51:33.08,-04:51:33.148"
"SN2006tm","2006/12/15","01:09:17.296,01:09:17.30,01:09:17.297","+00:09:11.31,+00:09:11.3,+00:09:11.30,+00:09:11.389"
"SN2007to","2007/10/10","02:29:42.06,02:29:42.060,02:29:42.061","-09:02:05.2,-09:02:05.21,-09:02:05.24,-09:02:05.252"
"ESSENCE g097","2004/10/05","23:27:37.16,23:27:37.164","-09:35:21.0,-09:35:20.96,-09:35:21.041"
"ESSENCE k467","2004/11/16","02:31:11.80,02:31:11.801","-07:47:34.1,-07:47:34.13,-07:47:34.124"
"ESSENCE n404","2004/12/07","02:31:31.43,02:31:31.433","-08:55:11.5,-08:55:11.52,-08:55:11.512"
"SN2002jb","2002/11/09","23:29:44.14,23:29:44.149","-09:36:34.3,-09:36:34.25,-09:36:34.31,-09:36:34.508"
"SN2004fk","2004/10/11","01:13:35.84,01:13:35.842","-00:09:27.6,-00:09:27.56,-00:09:27.61,-00:09:27.500"
"SN2004fs","2004/10/15","02:31:19.95,02:31:19.943","-08:49:21.7,-08:49:21.67,-08:49:21.68,-08:49:21.751"
"SN2004ha","2004/11/06","02:04:27.00,02:04:27.01,02:04:27.005","-04:52:46.0,-04:52:46.03,-04:52:45.98,-04:52:46.192"
"ESSENCE p455","2005/11/30","02:11:00.02,02:11:00.014","-04:09:37.6,-04:09:37.59,-04:09:37.601"
"SN2006tk","2006/12/15","01:07:52.642,01:07:52.64,01:07:52.640","+00:27:55.30,+00:27:55.3,+00:27:55.293"
"SN2006tn","2006/12/17","02:05:36.025,02:05:36.02,02:05:36.019","-05:08:46.28,-05:08:46.3,-05:08:46.272"
"SN2006tu","2006/12/19","02:29:56.537,02:29:56.54,02:29:56.534","-07:59:50.79,-07:59:50.8,-07:59:50.78,-07:59:50.850"
"SN2006tw","2006/12/21","01:08:54.227,01:08:54.23","+00:17:56.50,+00:17:56.5,+00:17:56.51,+00:17:56.510"
"SN2007ug","2007/11/11","02:09:36.85,02:09:36.850,02:09:36.845","-04:51:52.2,-04:51:52.20,-04:51:52.24,-04:51:52.280"
"ESSENCE f123","2003/11/27","02:09:57.282","-03:32:26.609"
"ESSENCE g142","2004/10/07","23:28:37.70,23:28:37.713","-08:45:04.0,-08:45:04.01,-08:45:03.948"
"ESSENCE g225","2004/10/13","23:27:15.69,23:27:15.685","-09:27:59.8,-09:27:59.76,-09:27:59.728"
"SN2002iy","2002/11/05","02:30:40.00,02:30:40.022","-08:11:40.5,-08:11:40.50,-08:11:40.49,-08:11:40.469"
"SN2003jo","2003/10/22","23:25:24.03,23:25:24.038,23:25:24.047","-09:26:00.6,-09:26:00.63,-09:26:00.60,-09:26:00.69,-09:26:00.659"
"SN2003km","2003/11/19","02:30:09.00,02:30:01.00,02:30:09.008,02:30:09.001","-09:04:35.9,-09:04:35.89,-09:04:35.90,-09:04:35.99,-09:04:35.621"
"SN2004hd","2004/11/14","02:08:48.21,02:08:48.217","-04:26:10.4,-04:26:10.42,-04:26:10.39,-04:26:10.319"
"SN2004he","2004/11/14","02:29:48.79,02:29:48.797","-08:20:45.9,-08:20:45.94,-08:20:45.89,-08:20:45.875"
"ESSENCE n256","2005/11/08","02:28:09.01,02:28:09.012","-07:47:49.6,-07:47:49.56,-07:47:49.616"
"SN2006tj","2006/12/13","01:09:23.282,01:09:23.28,01:09:23.284","+00:42:42.26,+00:42:42.3,+00:42:42.30,+00:42:42.313"
"SN2007tl","2007/10/10","01:11:04.91,01:11:04.910,01:11:04.912","-00:15:43.3,-00:15:43.31,-00:15:43.33,-00:15:43.364"
"SN2007ua","2007/11/07","01:10:31.939,01:10:31.944,01:10:31.95,01:10:31.96,01:10:31.955","+00:35:49.58,+00:35:49.578,+00:35:49.4,+00:35:49.42,+00:35:49.45,+00:35:49.434"
"ESSENCE k490","2004/12/05","02:30:24.32,02:30:24.320","-07:53:21.0,-07:53:20.95,-07:53:20.935"
"SN2003lh","2003/12/13","02:10:19.51,02:10:19.518,02:10:19.505","-04:59:32.3,-04:59:32.30,-04:59:32.32,-04:59:32.39,-04:59:32.063"
