"Name","Disc. Date","R.A.","Dec."
"SN2004fm","2004/10/11","23:26:58.14,23:26:58.138","-09:37:19.4,-09:37:19.45,-09:37:19.42,-09:37:19.346"
"ESSENCE m027","2005/09/26","01:09:15.01,01:09:15.013","+00:08:14.8,+00:08:14.80,+00:08:14.797"
"ESSENCE n278","2005/11/24","23:28:17.55,23:28:17.550","-09:23:12.4,-09:23:12.38,-09:23:12.360"
"ESSENCE n406","2005/11/22","02:31:19.60,02:31:19.601","-08:45:09.8,-08:45:09.76,-08:45:09.787"
"ESSENCE s380","2006/12/13","02:09:00.048","-05:07:41.787"
"SN2006ma","2006/10/13","01:15:11.653,01:15:11.65,01:15:11.657","-00:28:03.12,-00:28:03.1,-00:28:03.11,-00:28:03.151"
"SN2006mj","2006/10/19","02:09:03.038,02:09:03.04,02:09:03.042","-03:28:27.77,-03:28:27.8,-03:28:27.80,-03:28:27.832"
"SN2006se","2006/11/14","01:14:48.054,01:14:48.05,01:14:48.050","+00:06:39.39,+00:06:39.4,+00:06:39.31,+00:06:39.370"
"SN2006tl","2006/12/15","01:09:17.279,01:09:17.28,01:09:17.282","-00:40:27.97,-00:40:28.0,-00:40:27.98,-00:40:27.967"
"SN2006tr","2006/12/17","02:28:29.535,02:28:29.54,02:28:29.532","-07:53:28.51,-07:53:28.5,-07:53:28.50,-07:53:28.493"
"ESSENCE m087","2004/12/15","02:33:37.004","-08:27:32.462"
"SN2002ja","2002/11/09","23:30:09.67,23:30:09.66,23:30:09.685","-09:35:01.8,-09:35:01.75,-09:35:01.79,-09:35:01.809"
"SN2003li","2003/12/13","02:27:47.29,02:27:47.298,02:27:47.294","-07:33:46.2,-07:33:46.16,-07:33:46.19,-07:33:46.29,-07:33:46.220"
"SN2003lj","2003/12/15","01:12:10.03,01:12:10.038,01:12:10.034","+00:19:51.3,+00:19:51.29,+00:19:51.31,+00:19:51.39,+00:19:51.267"
"SN2004hm","2004/12/07","02:28:03.11,02:28:03.12,02:28:03.110","-07:42:29.7,-07:42:29.70,-07:42:29.656"
"SN2004hs","2004/12/13","02:09:33.69,02:09:33.689","-04:13:04.0,-04:13:03.93,-04:13:04.01,-04:13:03.931"
"ESSENCE m070","2005/09/28","02:33:46.821","-08:08:26.888"
"ESSENCE m158","2005/10/06","23:24:03.53,23:24:03.540","-09:23:18.2,-09:23:18.24,-09:23:18.267"
"ESSENCE p524","2005/11/28","02:30:10.16,02:30:10.156","-08:52:50.8,-08:52:50.84,-08:52:50.856"
"SN2006mm","2006/10/21","01:08:48.661,01:08:48.66,01:08:48.662","+00:17:22.36,+00:17:22.4,+00:17:22.42,+00:17:22.315"
"SN2006tt","2006/12/19","02:10:47.926,02:10:47.93,02:10:47.935","-04:24:56.92,-04:24:56.9,-04:24:56.99,-04:24:56.952"
"SN2007uh","2007/11/13","02:06:05.20,02:06:05.198,02:06:05.200","-04:01:37.5,-04:01:37.49,-04:01:37.51,-04:01:37.458"
"SN2007us","2007/12/07","02:27:54.87,02:27:54.866,02:27:54.863","-08:00:55.2,-08:00:55.19,-08:00:55.24,-08:00:55.479"
"ESSENCE g240","2004/10/09","23:30:41.83,23:30:41.823","-08:34:11.0,-08:34:10.98,-08:34:10.893"
"ESSENCE h300","2004/10/19","02:31:40.67,02:31:40.680","-08:49:03.3,-08:49:03.35,-08:49:03.377"
"ESSENCE k411","2004/11/12","23:26:11.77,23:26:11.781","-08:50:17.5,-08:50:17.50,-08:50:17.355"
"ESSENCE p425","2003/11/23","23:29:56.19,23:29:56.189","-08:34:24.3,-08:34:24.34,-08:34:24.400"
"SN2002jw","2002/12/06","02:30:00.52,02:30:00.539","-08:36:22.4,-08:36:22.41,-08:36:22.39,-08:36:22.561"
"SN2003jm","2003/10/22","02:28:50.93,02:28:50.938,02:28:50.940","-09:09:58.1,-09:09:58.14,-09:09:58.10,-09:09:58.19,-09:09:58.077"
"SN2004hc","2004/11/12","23:24:32.67,23:24:32.664","-08:41:03.5,-08:41:03.55,-08:41:03.52,-08:41:03.574"
"SN2004hk","2004/12/05","23:27:04.38,23:27:04.39,23:27:04.384","-08:38:45.1,-08:38:45.11,-08:38:45.10,-08:38:45.178"
"ESSENCE n326","2005/11/24","23:29:58.59,23:29:58.590","-08:53:12.5,-08:53:12.45,-08:53:12.468"
"ESSENCE p444","2005/11/24","02:06:36.165","-03:41:33.614"
"ESSENCE p459","2005/11/24","02:10:20.082","-04:33:13.440"
"ESSENCE p528","2005/11/30","02:07:04.66,02:07:04.661","-03:28:04.4,-03:28:04.37,-03:28:04.268"
"ESSENCE q002","2006/09/16","02:05:12.945","-03:39:00.723"
"SN2007tc","2007/10/04","01:14:46.89,01:14:46.90,01:14:46.898,01:14:46.894","+00:17:06.6,+00:17:06.61,+00:17:06.62,+00:17:06.778"
"SN2003ll","2003/12/15","02:35:41.19,02:35:41.198,02:35:41.190","-08:06:29.6,-08:06:29.55,-08:06:29.59,-08:06:29.69,-08:06:29.788"
"SN2004hr","2004/12/11","01:08:48.33,01:08:48.34,01:08:48.336","+00:00:49.5,+00:00:49.49,+00:00:49.50,+00:00:49.449"
"ESSENCE n246","2005/11/22","01:14:33.08,01:14:33.074","-00:26:23.2,-00:26:23.18,-00:26:23.184"
"ESSENCE q006","2006/09/16","02:10:52.276","-03:57:39.374"
"ESSENCE r317","2006/11/14","01:13:24.658","+00:51:27.757"
"ESSENCE s372","2006/12/13","02:08:24.257","-03:27:32.636"
"SN2006tv","2006/12/19","02:35:34.225,02:35:34.22","-08:34:22.03,-08:34:22.0,-08:34:22.01,-08:34:22.069"
"SN2002jc","2002/11/09","02:07:27.28,02:07:27.285","-03:50:20.7,-03:50:20.73,-03:50:20.69,-03:50:20.744"
"SN2004fl","2004/10/11","23:26:57.92,23:26:57.910","-09:37:19.1,-09:37:19.11,-09:37:19.09,-09:37:18.984"
"SN2004fn","2004/10/11","23:30:20.12,23:30:20.114","-09:58:30.7,-09:58:30.67,-09:58:30.68,-09:58:30.698"
"ESSENCE n285","2005/11/08","23:23:51.35,23:23:51.357","-08:23:18.5,-08:23:18.47,-08:23:18.503"
"ESSENCE p429","2005/11/24","23:26:02.216","-08:35:47.978"
"ESSENCE p445","2005/11/24","01:13:14.547","+00:48:47.659"
"ESSENCE p520","2005/12/04","02:08:09.34,02:08:09.339","-03:48:05.0,-03:48:05.05,-03:48:04.967"
"ESSENCE x093","2007/10/08","02:29:43.134","-09:06:54.931"
"SN2006mi","2006/10/19","02:05:55.040,02:05:55.04","-04:00:53.24,-04:00:53.2,-04:00:53.21,-04:00:53.216"
"SN2006sd","2006/11/14","01:14:24.155,01:14:24.15,01:14:24.151","+01:02:39.45,+01:02:39.4,+01:02:39.41,+01:02:39.488"
"SN2006sj","2006/11/14","02:10:22.418,02:10:22.42,02:10:22.41,02:10:22.419","-03:33:09.32,-03:33:09.3,-03:33:09.29,-03:33:09.269"
"SN2006tp","2006/12/17","02:09:14.042,02:09:14.04,02:09:14.040","-04:37:12.18,-04:37:12.2,-04:37:12.22,-04:37:11.970"
"PS15rk","2015/03/21","13:36:49.00","-05:05:00.8"
"ESSENCE f301","2003/12/13","02:27:26.51,02:27:26.513","-08:42:24.9,-08:42:24.88,-08:42:24.782"
"ESSENCE f308","2003/12/13","02:29:22.39,02:29:22.391","-08:37:38.4,-08:37:38.38,-08:37:38.480"
"SN2004hn","2004/12/09","01:13:32.38,01:13:32.39,01:13:32.382","+00:37:15.3,+00:37:15.38,+00:37:15.31,+00:37:15.455"
"ESSENCE n322","2005/11/22","02:29:00.48,02:29:00.487","-09:02:53.0,-09:02:52.96,-09:02:52.992"
"ESSENCE n400","2005/11/22","01:13:13.26,01:13:13.258","-00:23:25.9,-00:23:25.86,-00:23:25.853"
"PS15cdb","2015/09/23","00:51:46.08","-00:36:38.2"
"ESSENCE m034","2005/09/26","02:27:50.33,02:27:50.324","-07:59:11.6,-07:59:11.62,-07:59:11.705"
"ESSENCE p434","2005/11/24","01:12:40.25,01:12:40.253","+00:14:56.6,+00:14:56.61,+00:14:56.591"
"SN2006sa","2006/11/12","02:05:14.99,02:05:14.95,02:05:14.94,02:05:14.930,02:05:14.947,02:05:14.944,02:05:14.93","-04:48:53.5,-04:48:51.7,-04:48:51.70,-04:48:51.72,-04:48:51.685"
"ESSENCE m138","2005/10/06","01:08:56.35,01:08:56.340","+00:39:25.4,+00:39:25.38,+00:39:25.350"
"ESSENCE m226","2005/01/11","02:06:03.69,02:06:03.688","-04:39:59.1,-04:39:59.12,-04:39:59.080"
"ESSENCE p534","2005/12/24","02:04:56.09,02:04:56.094","-03:49:03.7,-03:49:03.67,-03:49:03.645"
"SN2007te","2007/10/04","02:09:29.40,02:09:29.404,02:09:29.402","-03:35:35.0,-03:35:35.02,-03:35:35.01,-03:35:35.054"
"SN2002jr","2002/11/09","02:04:41.03,02:04:41.039","-05:09:40.7,-05:09:40.73,-05:09:40.72,-05:09:40.727"
"ESSENCE m040","2005/09/26","02:27:30.201","-07:41:49.985"
"ESSENCE p527","2005/12/24","02:08:10.47,02:08:10.469","-03:32:17.7,-03:32:17.70,-03:32:17.637"
"SN2006sp","2006/11/24","01:10:55.170,01:10:55.17,01:10:55.171","-00:27:52.32,-00:27:52.3,-00:27:52.31,-00:27:52.289"
"SN2003lm","2003/12/15","23:24:25.51,23:24:25.518,23:24:25.501","-08:45:51.1,-08:45:51.11,-08:45:51.08,-08:45:51.19,-08:45:50.834"
"ESSENCE m026","2005/09/26","23:28:39.97,23:28:39.960","-09:19:50.0,-09:19:50.00,-09:19:49.986"
"PS15cnd","2015/10/19","22:03:27.89","+14:10:58.5"
"PS15bbr","2015/06/30","21:26:50.88","+11:13:27.5"
"SN2002iu","2002/10/30","00:13:33.10,00:13:33.100","-10:13:09.9,-10:13:09.92,-10:13:09.91,-10:13:09.920"
"SN2002iv","2002/10/30","02:19:16.11,02:19:16.110","-07:44:06.7,-07:44:06.72,-07:44:06.68,-07:44:06.720"
"SN2002iw","2002/11/01","23:43:07.25,23:43:07.250","-09:48:05.2,-09:48:05.18,-09:48:05.200"
"SN2002ix","2002/11/01","23:31:00.85,23:31:00.863","-09:29:07.2,-09:29:07.19,-09:29:07.205"
"SN2002jd","2002/11/11","00:28:38.40,00:28:38.39,00:28:38.390","+00:40:29.3,+00:40:29.29,+00:40:29.32,+00:40:29.290"
"SN2002jq","2002/11/05","23:35:57.96,23:35:57.960","-10:05:56.8,-10:05:56.88,-10:05:56.80,-10:05:56.880"
"SN2002js","2002/11/09","02:20:35.39,02:20:35.390","-09:34:43.9,-09:34:43.90,-09:34:43.900"
"SN2002jt","2002/11/28","00:13:36.70,00:13:36.700","-10:08:24.0,-10:08:24.00,-10:08:24.000"
"SN2002ju","2002/12/02","02:20:11.00,02:20:11.000","-09:04:37.5,-09:04:37.50,-09:04:37.49,-09:04:37.500"
"SN2002jv","2002/12/06","02:04:34.82,02:04:34.815","-03:51:57.9,-03:51:57.89,-03:51:57.919"
"SN2002jx","2002/12/06","00:26:54.13,00:26:54.136","+00:22:49.7,+00:22:49.69,+00:22:49.750"
"SN2003jk","2003/10/22","01:08:06.17,01:08:06.178,01:08:06.169","+00:02:20.6,+00:02:20.62,+00:02:20.69,+00:02:20.636"
"SN2003jp","2003/10/22","23:26:03.28,23:26:03.288,23:26:03.281","-08:59:22.7,-08:59:22.70,-08:59:22.79,-08:59:22.829"
"SN2003jr","2003/10/24","01:11:06.23,01:11:06.238,01:11:06.232","+00:13:44.2,+00:13:44.21,+00:13:44.18,+00:13:44.29,+00:13:44.210"
"SN2003jx","2003/10/30","02:06:33.40,02:06:33.408,02:06:33.398","-03:48:39.6,-03:48:39.60,-03:48:39.69,-03:48:39.117"
"SN2003kj","2003/11/15","01:14:36.56,01:14:36.568,01:14:36.556","-00:23:58.2,-00:23:58.20,-00:23:58.29,+00:23:58.180"
"SN2003kl","2003/11/17","01:09:48.80,01:09:48.808,01:09:48.798","+01:00:05.6,+01:00:05.58,+01:00:05.62,+01:00:05.69,+01:00:05.496"
"SN2003ku","2003/11/23","01:08:36.25,01:08:36.258,01:08:36.253","-00:33:20.8,-00:33:20.78,-00:33:20.81,-00:33:20.89,-00:33:20.780"
"SN2003lf","2003/12/13","01:08:49.81,01:08:49.818,01:08:49.807","-00:44:13.5,-00:44:13.49,-00:44:13.59,-00:44:13.490"
"SN2003lg","2003/12/13","01:13:32.68,01:13:32.688,01:13:32.675","-00:36:57.3,-00:36:57.31,-00:36:57.39,+00:36:57.310"
"SN2003lk","2003/12/15","02:11:12.82,02:11:12.828,02:11:12.817","-04:13:52.1,-04:13:52.11,-04:13:52.10,-04:13:52.19,-04:13:52.110"
"SN2004fj","2004/10/11","01:09:51.07,01:09:51.075","+00:27:21.0,+00:27:20.95,+00:27:20.99,+00:27:20.934"
"SN2004fp","2004/10/13","02:29:53.01,02:29:53.012","-09:01:16.6,-09:01:16.61,-09:01:16.554"
"SN2004fq","2004/10/13","23:27:45.64,23:27:45.638","-08:31:12.8,-08:31:12.77,-08:31:12.79,-08:31:12.785"
"SN2004fr","2004/10/15","02:28:43.77,02:28:43.772","-08:54:24.0,-08:54:24.05,-08:54:24.01,-08:54:24.030"
"SN2004ft","2004/10/17","02:33:32.63,02:33:32.622","-08:09:34.1,-08:09:34.10,-08:09:34.09,-08:09:34.178"
"SN2004hb","2004/11/06","02:08:09.70,02:08:09.708","-04:41:51.8,-04:41:51.79,-04:41:51.880"
"SN2004hf","2004/11/16","02:32:00.14,02:32:00.143","-08:42:23.8,-08:42:23.89,-08:42:23.80,-08:42:23.852"
"SN2004hg","2004/11/16","02:34:55.19,02:34:55.193","-08:30:43.6,-08:30:43.64,-08:30:43.60,-08:30:43.591"
"SN2004ho","2004/12/09","02:06:16.03,02:06:16.041","-03:52:27.7,-03:52:27.70,-03:52:27.803"
"SN2004hp","2004/12/09","02:09:35.52,02:09:35.522","-03:46:23.5,-03:46:23.53,-03:46:23.48,-03:46:23.520"
"SN2006lz","2006/09/24","02:27:40.735,02:27:40.73,02:27:40.74,02:27:40.742","-08:10:08.23,-08:10:08.2,-08:10:08.18,-08:10:08.182"
"SN2006sh","2006/11/14","02:09:11.064,02:09:11.06","-03:44:42.01,-03:44:42.0,-03:44:42.00,-03:44:42.104"
"SN2006th","2006/11/28","23:29:00.967,23:29:00.97,23:29:00.954","-08:54:04.16,-08:54:04.2,-08:54:04.21,-08:54:04.953"
"SN2006ti","2006/11/28","23:29:13.128,23:29:13.13,23:29:13.133","-08:47:58.14,-08:47:58.1,-08:47:58.09,-08:47:57.762"
"SN2006tq","2006/12/17","02:10:00.698,02:10:00.70,02:10:00.697","-04:06:00.91,-04:06:00.9,-04:06:00.90,-04:06:00.903"
"SN2006tx","2006/12/21","01:10:26.783,01:10:26.78,01:10:26.793","-00:34:07.49,-00:34:07.5,-00:34:07.50,-00:34:07.640"
"SN2006tz","2006/12/21","02:10:27.034,02:10:27.03","-04:17:08.23,-04:17:08.2,-04:17:08.20,-04:17:08.159"
"SN2007sx","2007/10/02","01:10:09.25,01:10:09.248,01:10:09.249","-00:42:08.0,-00:42:07.99,-00:42:08.04,-00:42:08.035"
"SN2007sy","2007/10/02","01:15:25.99,01:15:25.990,01:15:25.989","+00:49:06.5,+00:49:06.49,+00:49:06.47,+00:49:06.597"
"SN2007sz","2007/10/02","02:07:00.23,02:07:00.226,02:07:00.230","-05:06:08.2,-05:06:08.21,-05:06:08.17,-05:06:08.212"
"SN2007td","2007/10/04","02:04:26.90,02:04:26.897,02:04:26.895","-03:44:18.9,-03:44:18.89,-03:44:18.88,-03:44:18.859"
"SN2007tn","2007/10/10","02:28:14.79,02:28:14.787,02:28:14.790","-08:36:32.2,-08:36:32.18,-08:36:32.22,-08:36:32.198"
"SN2007tu","2007/11/05","01:14:05.22,01:14:05.217,01:14:05.219","-00:36:25.6,-00:36:25.60,-00:36:25.629"
"SN2007tw","2007/11/05","02:05:32.97,02:05:32.96,02:05:32.967,02:05:32.964","-05:02:46.6,-05:02:46.61,-05:02:46.64,-05:02:46.626"
"SN2007tx","2007/11/05","02:28:33.31,02:28:33.313,02:28:33.314","-08:35:25.7,-08:35:25.69,-08:35:25.70,-08:35:25.690"
"SN2007ue","2007/11/11","01:09:09.84,01:09:09.844,01:09:09.843","-00:14:01.1,-00:14:01.10,-00:14:01.11,-00:14:01.124"
"SN2007up","2007/12/03","02:09:56.07,02:09:56.074,02:09:56.068","-04:28:57.4,-04:28:57.40,-04:28:57.42,-04:28:57.352"
"SN2014eg","2014/11/16","02:45:09.27","-55:44:16.9,-55:44:16.91"
"iPTF15ess","2015","",""
"2MASS J02051081-0447150","","02:05:10.81,02:05:10.83,02:05:10.823","-04:47:15.1,-04:47:13.94,-04:47:13.982"
"ESSENCE b001","","23:36:07.860","-10:02:26.660"
"ESSENCE b025","","23:24:11.150","-09:13:20.120"
"ESSENCE c002","","01:10:05.029","+00:16:31.437"
"ESSENCE c020","","02:20:32.124","-07:36:02.690"
"ESSENCE c022","","02:21:06.336","-09:06:51.820"
"ESSENCE c023","","00:28:03.16,00:28:03.160","+00:37:50.4,+00:37:50.43,+00:37:50.430"
"ESSENCE d009","","23:25:55.900","-08:56:41.300"
"ESSENCE d091","","02:09:35.211","-03:56:17.327"
"ESSENCE d115","","01:09:45.163","+00:02:02.740"
"ESSENCE e103","","01:09:32.340","+00:36:43.930"
"ESSENCE e106","","01:09:45.163","+00:02:02.740"
"ESSENCE e141","","02:32:30.272","-09:05:53.662"
"ESSENCE e143","","02:33:11.715","-09:03:32.183"
"ESSENCE e418","","02:07:30.851","-03:30:49.497"
"ESSENCE e501","","23:29:20.159","-08:54:27.836"
"ESSENCE e510","","23:30:59.971","-08:37:34.344"
"ESSENCE e528","","02:07:37.767","-04:27:06.738"
"ESSENCE e529","","02:06:42.954","-04:26:31.293"
"ESSENCE f044","","01:11:20.561","+00:04:10.020"
"ESSENCE f213","","01:14:50.770","+00:14:35.919"
"ESSENCE f304","","02:28:23.108","-08:34:22.780"
"ESSENCE f441","","01:08:58.453","+00:22:15.570"
"ESSENCE g004","","01:15:06.214","+00:23:38.571"
"ESSENCE g128","","23:26:43.669","-08:37:31.458"
"ESSENCE g181","","02:28:35.984","-09:13:43.261"
"ESSENCE g185","","23:26:56.854","-08:55:12.970"
"ESSENCE g204","","02:08:26.690","-03:44:44.620"
"ESSENCE g219","","01:10:27.165","-00:39:11.615"
"ESSENCE h280","","01:09:28.330","-00:01:22.880"
"ESSENCE h293","","02:05:11.580","-05:09:04.692"
"ESSENCE h361","","02:11:14.030","-04:53:40.148"
"ESSENCE k397","","02:09:31.278","-03:34:21.189"
"ESSENCE k402","","01:12:54.197","+00:11:25.151"
"ESSENCE k440","","01:14:18.151","+00:29:02.397"
"ESSENCE k442","","02:06:19.076","-03:58:01.372"
"ESSENCE k459","","02:10:28.886","-05:07:11.337"
"ESSENCE m003","","02:05:27.31,02:05:27.303","-04:42:54.1,-04:42:54.05,-04:42:53.777"
"ESSENCE m006","","02:30:27.27,02:30:27.266","-09:16:10.2,-09:16:10.23,-09:16:10.189"
"ESSENCE m010","","02:31:46.24,02:31:46.238","-09:16:25.7,-09:16:25.65,-09:16:25.667"
"ESSENCE m011","","02:08:06.23,02:08:06.229","-04:03:51.2,-04:03:51.16,-04:03:51.137"
"ESSENCE m014","","02:07:12.91,02:07:12.911","-04:26:40.1,-04:26:40.06,-04:26:40.049"
"ESSENCE m041","","02:09:49.78,02:09:49.784","-04:45:10.7,-04:45:10.65,-04:45:10.513"
"ESSENCE m082","","02:07:13.757","-03:49:12.890"
"ESSENCE m139","","23:23:57.83,23:23:57.823","-08:27:08.3,-08:27:08.33,-08:27:08.205"
"ESSENCE m142","","01:15:17.691","+00:47:17.513"
"ESSENCE n244","","02:28:11.797","-07:36:29.340"
"ESSENCE n271","","01:13:06.51,01:13:06.506","+00:30:04.9,+00:30:04.86,+00:30:04.835"
"ESSENCE n346","","23:28:58.301","-08:46:52.839"
"ESSENCE n368","","23:30:32.01,23:30:32.013","-10:03:22.1,-10:03:22.14,-10:03:22.140"
"ESSENCE p458","","23:25:30.268","-08:52:04.940"
"ESSENCE p535","","02:08:28.123","-04:16:34.893"
"ESSENCE q060","","01:14:48.945","+00:44:47.120"
"ESSENCE q150","","02:31:18.622","-08:07:11.563"
"ESSENCE r205","","02:09:37.948","-03:31:20.238"
"ESSENCE r215","","02:08:55.716","-04:59:46.063"
"ESSENCE s371","","01:12:57.431","-00:26:54.525"
"ESSENCE x027","","02:08:15.486","-03:49:35.804"
"ESSENCE x084","","02:29:20.643","-07:51:00.932"
"ESSENCE x113","","02:34:36.128","-08:01:11.116"
"ESSENCE y117","","02:08:14.332","-04:05:09.772"
"ESSENCE y146","","02:29:26.184","-08:27:52.797"
"ESSENCE y155","","01:07:56.085","+00:17:41.484"
"ESSENCE y173","","02:35:34.821","-08:19:07.016"
"ESSENCE z195","","02:29:47.674","-09:01:08.431"
